Home_Listing_ID,Property_Name,Price_INR,City,Property_Type,Bedrooms,Total_Tags,Tags_Property_Type,Tags_Listing_Type,Tags_Bedrooms,Tags_Price_Range,Tags_Location,Tags_Agent,Tags_Investment,Tags_Marketing,Tags_Quality,Tags_Features,Tags_Media,All_Tags,Tag_Details
r436675,Aurum Alumni Bliss,27500000.0,Sector 22D Yamuna Expressway,Apartment,98,9,apartment,,5plus_bedroom,premium,,has_agent,investment_grade,meta_ads_ready,complete_listing,geo_tagged,has_photos,"apartment, 5plus_bedroom, premium, has_agent, investment_grade, meta_ads_ready, complete_listing, geo_tagged, has_photos",apartment(0.9) | 5plus_bedroom(0.9) | premium(0.8) | has_agent(0.8) | investment_grade(0.7) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
r454311,Express Zenith Tower A,26399998.0,Sector 77,Apartment,97,9,apartment,,5plus_bedroom,premium,,has_agent,investment_grade,meta_ads_ready,complete_listing,geo_tagged,has_photos,"apartment, 5plus_bedroom, premium, has_agent, investment_grade, meta_ads_ready, complete_listing, geo_tagged, has_photos",apartment(0.9) | 5plus_bedroom(0.9) | premium(0.8) | has_agent(0.8) | investment_grade(0.7) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
r440690,Ace Acreville,30000000.0,Sector 22A Yamuna Expressway,Land,96,8,,,5plus_bedroom,premium,,has_agent,investment_grade,meta_ads_ready,complete_listing,geo_tagged,has_photos,"5plus_bedroom, premium, has_agent, investment_grade, meta_ads_ready, complete_listing, geo_tagged, has_photos",5plus_bedroom(0.9) | premium(0.8) | has_agent(0.8) | investment_grade(0.7) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
r436912,VVIP Addresses Greater Noida,35858442.0,Sector-12,Apartment,95,9,apartment,,5plus_bedroom,premium,,has_agent,investment_grade,meta_ads_ready,complete_listing,geo_tagged,has_photos,"apartment, 5plus_bedroom, premium, has_agent, investment_grade, meta_ads_ready, complete_listing, geo_tagged, has_photos",apartment(0.9) | 5plus_bedroom(0.9) | premium(0.8) | has_agent(0.8) | investment_grade(0.7) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
r416826,Trecento Residencies by Gaurs,125000000.0,Jaypee Greens,Apartment,95,9,apartment,,5plus_bedroom,luxury,,has_agent,investment_grade,meta_ads_ready,complete_listing,geo_tagged,has_photos,"apartment, 5plus_bedroom, luxury, has_agent, investment_grade, meta_ads_ready, complete_listing, geo_tagged, has_photos",apartment(0.9) | 5plus_bedroom(0.9) | luxury(0.8) | has_agent(0.8) | investment_grade(0.7) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
r395716,Fusion The Brook,11150000.0,Sector-12,Apartment,92,8,apartment,,5plus_bedroom,premium,,has_agent,,meta_ads_ready,complete_listing,geo_tagged,has_photos,"apartment, 5plus_bedroom, premium, has_agent, meta_ads_ready, complete_listing, geo_tagged, has_photos",apartment(0.9) | 5plus_bedroom(0.9) | premium(0.8) | has_agent(0.8) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
r402728,Sublime Spring Elmas,16260000.0,Sector-12,Apartment,92,8,apartment,,5plus_bedroom,premium,,has_agent,,meta_ads_ready,complete_listing,geo_tagged,has_photos,"apartment, 5plus_bedroom, premium, has_agent, meta_ads_ready, complete_listing, geo_tagged, has_photos",apartment(0.9) | 5plus_bedroom(0.9) | premium(0.8) | has_agent(0.8) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
r430588,CRC Maesta,32500000.0,Sector 1 Greater Noida West,Apartment,91,10,apartment,,5plus_bedroom,premium,noida_property,has_agent,investment_grade,meta_ads_ready,complete_listing,geo_tagged,has_photos,"apartment, 5plus_bedroom, premium, noida_property, has_agent, investment_grade, meta_ads_ready, complete_listing, geo_tagged, has_photos",apartment(0.9) | 5plus_bedroom(0.9) | premium(0.8) | noida_property(0.9) | has_agent(0.8) | investment_grade(0.7) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
r409011,Fusion The Rivulet,11001000.0,Sector-12,Apartment,91,8,apartment,,5plus_bedroom,premium,,has_agent,,meta_ads_ready,complete_listing,geo_tagged,has_photos,"apartment, 5plus_bedroom, premium, has_agent, meta_ads_ready, complete_listing, geo_tagged, has_photos",apartment(0.9) | 5plus_bedroom(0.9) | premium(0.8) | has_agent(0.8) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
r410958,Max Estates 128,113485920.0,Sector 128,Apartment,90,9,apartment,,5plus_bedroom,luxury,,has_agent,investment_grade,meta_ads_ready,complete_listing,geo_tagged,has_photos,"apartment, 5plus_bedroom, luxury, has_agent, investment_grade, meta_ads_ready, complete_listing, geo_tagged, has_photos",apartment(0.9) | 5plus_bedroom(0.9) | luxury(0.8) | has_agent(0.8) | investment_grade(0.7) | meta_ads_ready(0.9) | complete_listing(0.8) | geo_tagged(0.9) | has_photos(0.8)
