Entry_ID,Title,Price_INR,City,Property_Type,Total_Tags,basic_tags,advanced_tags,city_tag,state_tag,Top_5_Tags,Tag_Details,Categories,Web_Enhanced
r436675,Aurum Alumni Bliss,27500000.0,Sector 22D Yamuna Expressway,Apartment,22,"3bhk, 4bhk, premium, luxury, studio, 2bhk, parking_available, 1bhk, under_construction, gym_fitness, security_24x7, budget_friendly, swimming_pool","highway_access, metro_connectivity, plot, imported_marble, club_house, it_hub, golf_facilities, investment_grade, private_elevator",noida,uttar pradesh,"3bhk, 4bhk, highway_access, premium, luxury",3bhk(0.92) | 4bhk(0.92) | highway_access(0.86) | premium(0.77) | luxury(0.48) | studio(0.26) | 2bhk(0.21) | parking_available(0.18) | metro_connectivity(0.17) | 1bhk(0.17) | plot(0.16) | imported_marble(0.15) | under_construction(0.14) | gym_fitness(0.14) | club_house(0.14) | it_hub(0.14) | security_24x7(0.13) | budget_friendly(0.13) | golf_facilities(0.13) | investment_grade(0.13) | swimming_pool(0.12) | private_elevator(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r454311,Express Zenith Tower A,26399998.0,Sector 77,Apartment,21,"3bhk, 4bhk, premium, ready_to_move, luxury, security_24x7, gym_fitness, parking_available, 2bhk, studio, swimming_pool, 1bhk, under_construction, budget_friendly, power_backup","highway_access, metro_connectivity, imported_marble, villa, plot, private_elevator",noida,uttar pradesh,"3bhk, 4bhk, premium, ready_to_move, luxury",3bhk(0.96) | 4bhk(0.93) | premium(0.80) | ready_to_move(0.71) | luxury(0.50) | security_24x7(0.25) | gym_fitness(0.24) | parking_available(0.23) | 2bhk(0.23) | studio(0.22) | swimming_pool(0.21) | highway_access(0.17) | metro_connectivity(0.16) | 1bhk(0.16) | imported_marble(0.16) | under_construction(0.16) | villa(0.15) | plot(0.14) | budget_friendly(0.14) | power_backup(0.14) | private_elevator(0.14),"luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r440690,Ace Acreville,30000000.0,Sector 22A Yamuna Expressway,Land,11,"premium, 3bhk, 2bhk, 4bhk, security_24x7, parking_available, studio, under_construction","plot, highway_access, metro_connectivity",noida,uttar pradesh,"plot, highway_access, premium, 3bhk, 2bhk",plot(1.00) | highway_access(0.81) | premium(0.73) | 3bhk(0.19) | 2bhk(0.17) | 4bhk(0.16) | metro_connectivity(0.14) | security_24x7(0.14) | parking_available(0.14) | studio(0.14) | under_construction(0.12),"property_type, amenity, price_range, location, bedrooms, status",Yes
r436912,VVIP Addresses Greater Noida,35858442.0,Sector-12,Apartment,21,"premium, 4bhk, under_construction, studio, 2bhk, 3bhk, parking_available, security_24x7, 1bhk, gym_fitness, swimming_pool, luxury","highway_access, metro_connectivity, villa, plot, private_elevator, imported_marble, spa_wellness, investment_grade, club_house",noida,uttar pradesh,"premium, 4bhk, under_construction, studio, 2bhk",premium(1.00) | 4bhk(0.90) | under_construction(0.77) | studio(0.22) | 2bhk(0.20) | 3bhk(0.20) | highway_access(0.19) | parking_available(0.18) | metro_connectivity(0.16) | security_24x7(0.15) | 1bhk(0.15) | villa(0.15) | plot(0.15) | private_elevator(0.14) | imported_marble(0.14) | gym_fitness(0.13) | swimming_pool(0.13) | luxury(0.13) | spa_wellness(0.12) | investment_grade(0.12) | club_house(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r416826,Trecento Residencies by Gaurs,125000000.0,Jaypee Greens,Apartment,23,"4bhk, luxury, under_construction, swimming_pool, gym_fitness, parking_available, security_24x7, 2bhk, studio, 3bhk, power_backup, 1bhk, budget_friendly, premium","plot, highway_access, villa, imported_marble, metro_connectivity, club_house, spa_wellness, investment_grade, it_hub",noida,uttar pradesh,"plot, 4bhk, luxury, under_construction, swimming_pool",plot(0.97) | 4bhk(0.95) | luxury(0.77) | under_construction(0.74) | swimming_pool(0.37) | gym_fitness(0.36) | parking_available(0.35) | security_24x7(0.32) | 2bhk(0.26) | studio(0.25) | 3bhk(0.24) | power_backup(0.22) | 1bhk(0.19) | highway_access(0.17) | budget_friendly(0.17) | villa(0.16) | imported_marble(0.16) | metro_connectivity(0.16) | club_house(0.16) | spa_wellness(0.15) | investment_grade(0.14) | premium(0.14) | it_hub(0.14),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r395716,Fusion The Brook,11150000.0,Sector-12,Apartment,24,"3bhk, 4bhk, premium, parking_available, gym_fitness, swimming_pool, security_24x7, studio, 2bhk, power_backup, 1bhk, luxury, budget_friendly, under_construction","villa, club_house, highway_access, private_elevator, plot, spa_wellness, imported_marble, infinity_pool, investment_grade, metro_connectivity",noida,uttar pradesh,"3bhk, 4bhk, premium, parking_available, gym_fitness",3bhk(0.94) | 4bhk(0.93) | premium(0.78) | parking_available(0.39) | gym_fitness(0.37) | swimming_pool(0.37) | security_24x7(0.36) | studio(0.25) | 2bhk(0.23) | power_backup(0.21) | 1bhk(0.20) | villa(0.17) | luxury(0.17) | club_house(0.16) | highway_access(0.16) | private_elevator(0.15) | plot(0.15) | spa_wellness(0.15) | imported_marble(0.15) | budget_friendly(0.14) | under_construction(0.14) | infinity_pool(0.13) | investment_grade(0.13) | metro_connectivity(0.13),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r402728,Sublime Spring Elmas,16260000.0,Sector-12,Apartment,24,"3bhk, 4bhk, premium, parking_available, gym_fitness, security_24x7, swimming_pool, studio, power_backup, luxury, 2bhk, under_construction, 1bhk, budget_friendly","club_house, spa_wellness, villa, imported_marble, plot, private_elevator, highway_access, investment_grade, metro_connectivity, concierge_service",noida,uttar pradesh,"3bhk, 4bhk, club_house, premium, parking_available",3bhk(0.90) | 4bhk(0.89) | club_house(0.87) | premium(0.82) | parking_available(0.37) | gym_fitness(0.36) | security_24x7(0.35) | swimming_pool(0.33) | studio(0.25) | power_backup(0.21) | luxury(0.19) | 2bhk(0.19) | under_construction(0.16) | 1bhk(0.16) | spa_wellness(0.16) | villa(0.15) | imported_marble(0.15) | plot(0.14) | budget_friendly(0.14) | private_elevator(0.14) | highway_access(0.13) | investment_grade(0.13) | metro_connectivity(0.13) | concierge_service(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r430588,CRC Maesta,32500000.0,Sector 1 Greater Noida West,Apartment,21,"2bhk, 3bhk, 4bhk, premium, ready_to_move, security_24x7, parking_available, gym_fitness, studio, swimming_pool, 1bhk, under_construction, power_backup, budget_friendly","plot, highway_access, imported_marble, metro_connectivity, villa, investment_grade, private_elevator",noida,uttar pradesh,"2bhk, 3bhk, 4bhk, premium, ready_to_move",2bhk(0.92) | 3bhk(0.92) | 4bhk(0.91) | premium(0.76) | ready_to_move(0.70) | plot(0.42) | security_24x7(0.25) | parking_available(0.24) | gym_fitness(0.23) | studio(0.22) | swimming_pool(0.21) | highway_access(0.17) | 1bhk(0.16) | under_construction(0.15) | imported_marble(0.14) | metro_connectivity(0.14) | power_backup(0.14) | villa(0.14) | investment_grade(0.13) | budget_friendly(0.12) | private_elevator(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r409011,Fusion The Rivulet,11001000.0,Sector-12,Apartment,22,"4bhk, premium, luxury, parking_available, security_24x7, gym_fitness, swimming_pool, studio, 2bhk, 3bhk, 1bhk, under_construction, budget_friendly","highway_access, villa, plot, imported_marble, spa_wellness, private_elevator, club_house, metro_connectivity, investment_grade",noida,uttar pradesh,"4bhk, premium, luxury, parking_available, security_24x7",4bhk(0.92) | premium(0.80) | luxury(0.48) | parking_available(0.27) | security_24x7(0.27) | gym_fitness(0.25) | swimming_pool(0.24) | studio(0.22) | 2bhk(0.22) | 3bhk(0.21) | 1bhk(0.16) | highway_access(0.16) | villa(0.16) | under_construction(0.15) | plot(0.15) | imported_marble(0.14) | budget_friendly(0.14) | spa_wellness(0.14) | private_elevator(0.14) | club_house(0.14) | metro_connectivity(0.13) | investment_grade(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
r410958,Max Estates 128,113485920.0,Sector 128,Apartment,20,"swimming_pool, 4bhk, luxury, parking_available, studio, security_24x7, 2bhk, gym_fitness, 3bhk, 1bhk, under_construction, budget_friendly","spa_wellness, plot, highway_access, investment_grade, metro_connectivity, imported_marble, villa, club_house",noida,uttar pradesh,"swimming_pool, 4bhk, luxury, spa_wellness, plot",swimming_pool(1.00) | 4bhk(0.93) | luxury(0.75) | spa_wellness(0.45) | plot(0.44) | highway_access(0.40) | parking_available(0.25) | studio(0.24) | security_24x7(0.24) | 2bhk(0.23) | gym_fitness(0.22) | 3bhk(0.21) | 1bhk(0.18) | investment_grade(0.16) | under_construction(0.15) | metro_connectivity(0.15) | imported_marble(0.14) | villa(0.14) | club_house(0.13) | budget_friendly(0.12),"investment, luxury_indicators, property_type, amenity, price_range, location, bedrooms, status",Yes
