Home_Listing_ID,Property_Name,Price_INR,City,Property_Type,Listing_Type,Total_Tags,Tags_Property_Type,Tags_Listing_Type,Tags_Bedrooms,Tags_Price_Range,Tags_Location,Tags_Agent,Tags_Media,Tags_Features,Tags_Marketing,Tags_Quality,Tags_Investment,All_Tags
r436675,Aurum Alumni Bliss,27500000.0,Sector 22D Yamuna Expressway,Apartment,new_listing,12,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, yamuna_expressway, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, yamuna_expressway, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r454311,Express Zenith Tower A,26399998.0,Sector 77,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r440690,Ace Acreville,30000000.0,Sector 22A Yamuna Expressway,Land,new_listing,12,land,,bedroom_unknown,luxury_1_5Cr,"sector_location, yamuna_expressway, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,land_investment,"land, bedroom_unknown, luxury_1_5Cr, sector_location, yamuna_expressway, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, land_investment"
r436912,VVIP Addresses Greater Noida,35858442.0,Sector-12,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r416826,Trecento Residencies by Gaurs,125000000.0,Jaypee Greens,Apartment,new_listing,10,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,jaypee_development,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, jaypee_development, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r395716,Fusion The Brook,11150000.0,Sector-12,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r402728,Sublime Spring Elmas,16260000.0,Sector-12,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r430588,CRC Maesta,32500000.0,Sector 1 Greater Noida West,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r409011,Fusion The Rivulet,11001000.0,Sector-12,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r410958,Max Estates 128,113485920.0,Sector 128,Apartment,new_listing,12,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,"sector_location, yamuna_expressway, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, sector_location, yamuna_expressway, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r384794,RG Mirage,30520000.0,Sector 120,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r446528,Godrej Sora,83100000.0,Sector 53,Apartment,new_listing,11,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r432550,TARC Ishva,77000000.0,Sector 63A,Apartment,new_listing,11,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r424460,M3M Mansion,36036000.0,Sector 113,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r444331,Signature Global Cloverdale SPR,38757500.0,Sector 71,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r404070,DLF The Arbour,84925000.0,Sector 63,Apartment,new_listing,11,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
